pair_ID	sentence_A	sentence_B	relatedness_score	entailment_label	entailment_AB	entailment_BA	sentence_A_dataset	sentence_B_dataset	SemEval_set	binary_label
1	گروهی از بچه‌ها در حیاط بازی می‌کنند و پیرمردی در پس زمینه ایستاده است	گروهی از پسران در حیاط بازی می‌کنند و مردی در پس زمینه ایستاده است	4.5	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	1
2	گروهی از کودکان در خانه مشغول بازی هستند و هیچ مردی در پس زمینه ایستاده نیست	گروهی از کودکان در حیاط بازی می‌کنند و پیرمردی در پس زمینه ایستاده است	3.2	NEUTRAL	A_contradicts_B	B_neutral_A	FLICKR	FLICKR	TRAIN	1
3	پسران جوان در فضای باز بازی می‌کنند و مرد در همان نزدیکی لبخند می‌زند	بچه‌ها در فضای باز و در نزدیکی مردی با لبخند بازی می‌کنند	4.7	ENTAILMENT	A_entails_B	B_entails_A	FLICKR	FLICKR	TRAIN	1
4	پسران جوان در حال بازی کردن در بیرون خانه هستند ومرد در آن نزدیکی  لبخند می زند	هیچ پسر جوانی در حال بازی کردن دربیرون از خانه وجود ندارد  و هیچ مردی نیست  که در حال لبخند زدن باشد	3.6	CONTRADICTION	A_contradicts_B	B_contradicts_A	FLICKR	FLICKR	TRIAL	1
5	بچه‌ها در فضای باز و در نزدیکی مردی با لبخند بازی می‌کنند	گروهی از کودکان در خانه مشغول بازی هستند و هیچ مردی در پس زمینه ایستاده نیست	3.4	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	1
6	هیچ پسری در بیرون بازی نمی‌کند و هیچ مردی لبخند نمی‌زند	گروهی از بچه ها در یک حیاط بازی می‌کنند و یک پیرمرد در پس زمینه ایستاده‌است	3.3	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	1
7	گروهی از پسران در یک حیاط بازی می‌کنند و یک مرد در پس زمینه ایستاده است	پسران جوان در بیرون از خانه بازی می‌کنند و مرد در آن نزدیکی لبخند می زند	3.7	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	1
8	گروهی از کودکان در خانه بازی می‌کنند و هیچ مردی در پس زمینه ایستاده نیست	پسران جوان در بیرون از خانه بازی می‌کنند و مرد درکنار آن‌ها لبخند می‌زند	3	NEUTRAL	A_neutral_B	B_contradicts_A	FLICKR	FLICKR	TEST	1
9	پسران جوان در فضای باز بازی می‌کنند و مرد در همان نزدیکی لبخند می‌زند	گروهی از بچه‌ها در حیاط بازی می‌کنند و پیرمردی در پس زمینه ایستاده است	3.7	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	1
10	یک سگ قهوه ای در جلوی مرد قد بلند با شلوار پارچه ای به حیوان دیگری حمله می‌کند	یک سگ قهوه ای در جلوی مرد با شلوار پارچه ای به حیوان دیگری حمله می‌کند	4.9	ENTAILMENT	A_entails_B	B_neutral_A	FLICKR	FLICKR	TEST	1
11	یک سگ قهوه ای در جلوی مرد با شلوار پارچه ای به حیوان دیگری حمله می‌کند	یک سگ قهوه ای در جلوی مرد با شلوار پارچه ای به حیوان دیگری کمک می‌کند	3.665	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	1
12	دو سگ با هم دعوا می‌کنند	دو سگ در حال کشتی گرفتن و در آغوش گرفتن هستند	4	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	1
13	دو سگ کشتی می گیرند و با هم جدال می‌کنند	هیچ سگی کشتی نمی‌گیرد و جدال نمی‌کند	3.3	CONTRADICTION	A_contradicts_B	B_contradicts_A	FLICKR	FLICKR	TEST	1
14	یک سگ قهوه ای در حال حمله به حیوان دیگری است  در مقابل مردی که شلوار پوشیده است	دو سگ با هم دعوا می‌کنند	3.5	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	1
15	یک سگ قهوه ای در جلوی مرد با شلوار پارچه ای به حیوان دیگری حمله می‌کند	هیچ سگی کشتی نمی‌گیرد و جدال نمی‌کند	2.7	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	0
16	دو سگ کشتی می گیرند و با هم جدال می‌کنند	یک سگ قهوه ای در جلوی مرد قد بلند با شلوار پارچه ای به حیوان دیگری حمله می‌کند	2.9	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	0
17	دو سگ کشتی می گیرند و با هم جدال می‌کنند	یک سگ قهوه ای در جلوی مرد با شلوار پارچه ای به حیوان دیگری حمله می‌کند	2.3	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	0
18	یک سگ قهوه ای در حال حمله به حیوان دیگری است در مقابل مردی که شلوار پوشیده است	دو سگ در حال کشتی گرفتن و در آغوش گرفتن هستند	3.2	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	1
